username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dobrevxbates;2015-09-14 19:52;1;2;"Estoy hace ya media hora temblando con el trailer de The 5th Wave.";;;;"643572999833165824";https://twitter.com/dobrevxbates/status/643572999833165824
mily61;2015-09-14 19:52;0;0;"Estados Unidos hace temblar al fútbol mundial http://www. abc.es/deportes/futbo l/20150914/abci-estados-unidos-corrupcion-futbol-201509141924.html … vía @abc_es";;@abc_es;;"643572963145609216";https://twitter.com/mily61/status/643572963145609216
ANTIPATIKO7;2015-09-14 19:52;0;0;"#SISMO ML 2.7 NEVADA http:// dlvr.it/C8gyRT";;;#SISMO;"643572951309135872";https://twitter.com/ANTIPATIKO7/status/643572951309135872
cecytenSnFelipe;2015-09-14 19:51;0;0;"Este viernes 18 de Septiembre nos unimos al Simulacro Nacional de Sismo ( Terremoto ), que se realizará en todas... http:// fb.me/7EjcwnArJ";;;;"643572937103052801";https://twitter.com/cecytenSnFelipe/status/643572937103052801
MARLINGGIMENEZ;2015-09-14 19:51;0;1;"Muévete a mi ritmo, siente el magnetismo, tu cadera y la mía boom hacen un sismo .";;;;"643572934959833088";https://twitter.com/MARLINGGIMENEZ/status/643572934959833088
_sodoma;2015-09-14 19:51;0;0;"Así vas a temblar @mientrassoylulu https:// twitter.com/perverted_gifs /status/643563163808583680 …";;@mientrassoylulu;;"643572914902691840";https://twitter.com/_sodoma/status/643572914902691840
SSP_CDMX;2015-09-14 19:51;20;9;"#Entérate El próximo sábado 19 de septiembre, se vivirá el #SimulacroCDMX en conmemoración al sismo de 1985. pic.twitter.com/1nfuENsZtL";;;#Ent #SimulacroCDMX;"643572875337728004";https://twitter.com/SSP_CDMX/status/643572875337728004
ChecojuarezSj;2015-09-14 19:51;0;0;"—Amigo, ¿me cedes el asiento? Estoy embarazada —No se te nota. ¿Cuánto tiempo tienes? —Como una hora, todavía me están temblando las piernas";;;;"643572843347734530";https://twitter.com/ChecojuarezSj/status/643572843347734530
matias_eglez;2015-09-14 19:51;0;0;"Despierta me cuando pase el temblor";;;;"643572753690427396";https://twitter.com/matias_eglez/status/643572753690427396
lupautassi;2015-09-14 19:50;0;0;"Hasta sentir el temblor";;;;"643572663357734913";https://twitter.com/lupautassi/status/643572663357734913
Joaquin_Carro14;2015-09-14 19:50;0;0;"Alerta de terremoto con eso sacude el building";Montevideo, Uruguay;;;"643572642801418240";https://twitter.com/Joaquin_Carro14/status/643572642801418240
OspinaFatima;2015-09-14 19:50;0;0;"@H4RRY_S7YLES Claro, te conectas y eso es que mi celular va a causar un terremoto de tantas vainas que vibran";;@H4RRY_S7YLES;;"643572627412549632";https://twitter.com/OspinaFatima/status/643572627412549632
AluuKloster;2015-09-14 19:50;0;0;"AMO TODO AQUELLO QUE ME PONE A TEMBLAR";;;;"643572519077814272";https://twitter.com/AluuKloster/status/643572519077814272
eltigrerafael;2015-09-14 19:50;0;0;"EE.UU. hace temblar a los líderes del fútbol mundial http://www. abc.es/deportes/futbo l/20150914/abci-estados-unidos-corrupcion-futbol-201509141924.html …";;;;"643572461653651456";https://twitter.com/eltigrerafael/status/643572461653651456
in_iern0s;2015-09-14 19:49;0;0;"'me sonrieron sus ojos y me tembló hasta el alma.'";;;;"643572423460302849";https://twitter.com/in_iern0s/status/643572423460302849
Karennnnnnnnn__;2015-09-14 19:49;0;2;"Me sonrieron sus ojos y me tembló hasta el alma .";Luján de Cuyo, Argentina;;;"643572259202985984";https://twitter.com/Karennnnnnnnn__/status/643572259202985984
benitoRM96;2015-09-14 19:49;0;0;"pegate ami ritmo siente el magnetismo tu cadera y la mia boom asen un sismo #astamañanaa https:// instagram.com/p/7oUpFbQRI_/";;;#astama;"643572256061456384";https://twitter.com/benitoRM96/status/643572256061456384
SrRafty;2015-09-14 19:49;0;3;"Estoy temblando .";;;;"643572236016820225";https://twitter.com/SrRafty/status/643572236016820225
_jossa_;2015-09-14 19:49;1;0;"oh terremoto ! durante el bello mes que te está consagrado todo resuena con tu nombre y alabanza...… https:// instagram.com/p/7oUoASwwHv/";;;;"643572220191768576";https://twitter.com/_jossa_/status/643572220191768576
minervaasiin22;2015-09-14 19:48;0;0;"No puedo con este temblor en el pie...... #afuuu";;;#afuuu;"643572127774449665";https://twitter.com/minervaasiin22/status/643572127774449665
nuevaya;2015-09-14 19:48;1;1;"Un sismo de magnitud 4,7 sacude la costa occidental de EE.UU. >>> http:// bit.ly/1EZ0uOQ pic.twitter.com/ok3ez2Fb5k";;;;"643572006454214657";https://twitter.com/nuevaya/status/643572006454214657
TodoTiempo;2015-09-14 19:48;0;0;"#Temblor M 2.7 - 69km ESE of Lakeview, Oregon http:// dlvr.it/C8h2Hf #Temblor #EarthQuake";;;#Temblor #Temblor #EarthQuake;"643571969401602048";https://twitter.com/TodoTiempo/status/643571969401602048
AlertaDeSismos;2015-09-14 19:47;10;10;"El Gran Terremoto de California sería entre finales del 2015 y principios del 2016---> http:// bit.ly/1UQzGY9 pic.twitter.com/6b8MJdVCfO";;;;"643571930382082048";https://twitter.com/AlertaDeSismos/status/643571930382082048
DJ_TIBURON_MIX;2015-09-14 19:47;0;0;"Palabras de Chiabes que hacen temblar a Maburro: Salgan a la calle si falta comida https:// youtu.be/vmjvHJn6mnk #NoEsPorPresumir";Macuto, Venezuela;;#NoEsPorPresumir;"643571865315901440";https://twitter.com/DJ_TIBURON_MIX/status/643571865315901440
509chico;2015-09-14 19:47;0;0;"Descargar Terremoto La Falla de San Andres HD 720p por Mega http://www. descargatelocorp.com/terremoto-la-f alla-de-san-andres-hd-720p/ … vía @descargatelocor";;@descargatelocor;;"643571770474278912";https://twitter.com/509chico/status/643571770474278912
AlertsGG;2015-09-14 19:47;0;2;"AciertoReal #RefSep14_24x7d Sismo Mag 4.3 hace 1h Nabire (PNG) Se pronosticó 4.8 +/-0.5 (Epicentro a 253km) http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459330 …";;;#RefSep14_24x7d;"643571692472770560";https://twitter.com/AlertsGG/status/643571692472770560
KATRISH62;2015-09-14 19:46;0;0;"hasta hora me entero q tembló ? #Panama";;;#Panama;"643571577494224896";https://twitter.com/KATRISH62/status/643571577494224896
AlertsGG;2015-09-14 19:46;0;2;"AciertoReal #RefSep14_28x7d Sismo Mag 4.9 en Region Kermadec Se pronosticó 5.2 +/-0.5 (Epicentro a 223km) http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459269 …";;;#RefSep14_28x7d;"643571557881749504";https://twitter.com/AlertsGG/status/643571557881749504
_al1215;2015-09-14 19:46;0;0;"Alguien que le diga a mis manos que paren de temblar , gracias.";;;;"643571513803739136";https://twitter.com/_al1215/status/643571513803739136
MonitorSismico;2015-09-14 19:46;0;0;"#Sismo M 2.7 NEVADA. 14-09-2015 23:18 UTC http:// srj.us/3Em #Temblor #CSEM #EMSC pic.twitter.com/w5MtmvPd7o";;;#Sismo #Temblor #CSEM #EMSC;"643571477447634944";https://twitter.com/MonitorSismico/status/643571477447634944
_MarianoConte;2015-09-14 19:46;0;0;"grotle evoluciono a torterra y aprendio terremoto gane el juego";;;;"643571466244616193";https://twitter.com/_MarianoConte/status/643571466244616193
camiibuonanno_;2015-09-14 19:46;0;0;"@JuanVallone jajajjaja deberias temblar";;@JuanVallone;;"643571432665022464";https://twitter.com/camiibuonanno_/status/643571432665022464
MiguelOrozco_v2;2015-09-14 19:45;0;0;"aunque cuando no te tengo...todo empieza a temblar #frasesbunbury";;;#frasesbunbury;"643571421797580800";https://twitter.com/MiguelOrozco_v2/status/643571421797580800
AlertsGG;2015-09-14 19:45;2;3;"AciertoReal #RefSep14_10x7d Sismo Mag 4.5 en San Martin, Argentina Se pronosticó 4.8 +/-0.5 (Epicentro a 168km) http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459263 …";;;#RefSep14_10x7d;"643571415019573248";https://twitter.com/AlertsGG/status/643571415019573248
SebasIbarra_;2015-09-14 19:45;0;1;"Saldo de este inicio de semana: viento zonda (viento caliente muy fuerte con polvo) y sismo de 4.5 grados. Feliz lunes.";;;;"643571384950591488";https://twitter.com/SebasIbarra_/status/643571384950591488
fab_fideos;2015-09-14 19:45;0;0;"Tras sismo del 85, V Rojo es solidario con las costureras. Ellas salieron adelante http:// eluni.mx/1VXMglr #México pic.twitter.com/Z6pBEKYVlW";;;#M;"643571372208300032";https://twitter.com/fab_fideos/status/643571372208300032
Empanadan;2015-09-14 19:45;0;0;""Me sonrieron sus ojos y me tembló hasta el alma" - (via contando-sonrisas) http:// tmblr.co/ZJ1bVt1uFPBEV";;;;"643571371784728576";https://twitter.com/Empanadan/status/643571371784728576
rossarioess;2015-09-14 19:45;0;0;"Me sonrieron sus ojos y me tembló hasta el alma";;;;"643571246119055361";https://twitter.com/rossarioess/status/643571246119055361
Hispantv;2015-09-14 19:45;15;8;"Premio Nobel de economía: Habrá un terremoto inminente en la bolsa de #EEUU http:// goo.gl/A3fidH";;;#EEUU;"643571229052547072";https://twitter.com/Hispantv/status/643571229052547072
Naza_Monzon;2015-09-14 19:44;0;1;"Estoy temblando pero no tengo frío q me pasa @cuerpohumano me das miedo";;@cuerpohumano;;"643571141542547456";https://twitter.com/Naza_Monzon/status/643571141542547456
melody_cotten;2015-09-14 19:44;0;0;"@GastonTrezeguet la misma que " tembló de miedo" aceptó a los dos días jugar al hielo loco con el supuesto misógino violento...";;@GastonTrezeguet;;"643571139772596224";https://twitter.com/melody_cotten/status/643571139772596224
OsvaldoBaez_01;2015-09-14 19:44;0;0;"No puedo ya disimular ,Te toco y empiezo a temblar";;;;"643571121804156928";https://twitter.com/OsvaldoBaez_01/status/643571121804156928
DeduEliana;2015-09-14 19:44;0;0;"@AylenMazzei15 recién me levanto jajajaja estoy temblando ! Alta siesta dormí con bastu :3";;@AylenMazzei15;;"643571088996323328";https://twitter.com/DeduEliana/status/643571088996323328
alesofiRE;2015-09-14 19:44;0;0;"Estoy temblando de los nervios";;;;"643571059871096832";https://twitter.com/alesofiRE/status/643571059871096832
Arii_rhcp;2015-09-14 19:44;0;0;"Ni sentí que tembló hoy en la mañana..";;;;"643571032285163520";https://twitter.com/Arii_rhcp/status/643571032285163520
WladimirPulgarG;2015-09-14 19:44;0;0;"@guti_1971 Tengo fotos de casas de la GALILEA que se partieron y hundieron con el terremoto . Que se parta un sobrecimiento es como mucho";;@guti_1971;;"643570979512430592";https://twitter.com/WladimirPulgarG/status/643570979512430592
Prensa_UdeG;2015-09-14 19:44;0;0;"A 30 años del sismo de 1985 investigadores de @udg_cucei piden actualizar reglamento de construcción en Jalisco→ http:// bit.ly/1KmBr8z";;@udg_cucei;;"643570935455350784";https://twitter.com/Prensa_UdeG/status/643570935455350784
JeereW;2015-09-14 19:43;0;0;"No paro de temblar ! :/";Tigre, Argentina;;;"643570864999526400";https://twitter.com/JeereW/status/643570864999526400
Eracay;2015-09-14 19:43;2;0;"Van 6 en 24 Hrs #sismo #panama https:// twitter.com/almomento360ho y/status/643545544443342852 …";;;#sismo #panama;"643570772347351040";https://twitter.com/Eracay/status/643570772347351040
AbrilPoleri;2015-09-14 19:43;0;0;"estoy temblando literal, y hace 21°";;;;"643570718240845824";https://twitter.com/AbrilPoleri/status/643570718240845824
Conchipumarino;2015-09-14 19:43;1;0;"tengo unas ganas de tomar terremoto";;;;"643570684220846080";https://twitter.com/Conchipumarino/status/643570684220846080
EvelynEspina3;2015-09-14 19:42;0;0;"Cada q te veo pasar Me ponen a delirar Tus bellos ojos Sólo tú me haces temblar Me estás haciendo volar Me vuelves loco Quiero acariciarte";;;;"643570658891337728";https://twitter.com/EvelynEspina3/status/643570658891337728
CamiZapataaa;2015-09-14 19:42;0;0;"A mover esos glúteos como terremoto en china";Uruguay;;;"643570654009237504";https://twitter.com/CamiZapataaa/status/643570654009237504
JuanVallone;2015-09-14 19:42;1;0;"@camiibuonanno_ uy, que miedo te tengo, edtoy temblando";;@camiibuonanno_;;"643570589303705602";https://twitter.com/JuanVallone/status/643570589303705602
paulinacabezasr;2015-09-14 19:42;0;1;"@rsepulveda88 jajaja cuidado con el terremoto curador!!!";;@rsepulveda88;;"643570542608556032";https://twitter.com/paulinacabezasr/status/643570542608556032
meteosmaniotto;2015-09-14 19:42;0;0;"Terremoto Pavia, Magnitudo 2.4, 14 settembre 2015 ore 22:20:26 UTC » INGV Centro Nazionale Terremoti http:// fb.me/4SlV9yNMY";;;;"643570474119622656";https://twitter.com/meteosmaniotto/status/643570474119622656
MonitorSismico;2015-09-14 19:42;0;0;"#Sismo M 2.7 69km ESE of Lakeview, #Oregon . 14-09-2015 23:18 UTC http:// srj.us/3El #Temblor #USGS pic.twitter.com/D0qKtn1vwH";;;#Sismo #Oregon #Temblor #USGS;"643570459817181186";https://twitter.com/MonitorSismico/status/643570459817181186
soysolidariocl;2015-09-14 19:41;0;0;"Hay muchas cosas para las que nunca vas a estar preparado. Para un terremoto sí. https://www. youtube.com/watch?v=60N-zo YdyxI … #cálmatepiensaactúa Fuente: onemi…";;;#c;"643570385787744256";https://twitter.com/soysolidariocl/status/643570385787744256
Lili_CaSan;2015-09-14 19:41;0;0;"Poemas eróticos que harán temblar tus piernas - Cultura Colectiva https:// shar.es/17asFU vía @culturacolectiv";;@culturacolectiv;;"643570357505540096";https://twitter.com/Lili_CaSan/status/643570357505540096
iallysgenevax;2015-09-14 19:41;0;0;"Hoy tembló 6 veces, y no sentí ninguno";;;;"643570329130893312";https://twitter.com/iallysgenevax/status/643570329130893312
fcomba;2015-09-14 19:41;0;0;"Retweeted Joaquín López-Dóriga ( @lopezdoriga ): A treinta años del terremoto en la Ciudad de México. Imágenes... http:// fb.me/BtxdmIxr";;@lopezdoriga;;"643570321514229761";https://twitter.com/fcomba/status/643570321514229761
camacholm;2015-09-14 19:41;0;0;"@tvnnoticias Blanca acaba de decir a q se deben los temblores!! Q pregunta es esa acaso se sabe la causa d un temblor revisen lo q dicen";;@tvnnoticias;;"643570248952729600";https://twitter.com/camacholm/status/643570248952729600
DayDreammer15;2015-09-14 19:41;0;0;"@IknowVirginia la que tienes que temblar eres tu, quieres romper la estructura litrraria del happy ending sin mas. Destroyer";;@IknowVirginia;;"643570209387900928";https://twitter.com/DayDreammer15/status/643570209387900928
EMSC;2015-09-14 19:40;0;0;"#Earthquake ( #sismo ) M2.7 strikes 70 km SE of #Lakeview ( #Oregon ) 23 min ago. More info: http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459331 …";;;#Earthquake #sismo #Lakeview #Oregon;"643570120678371328";https://twitter.com/EMSC/status/643570120678371328
_anaaprieto;2015-09-14 19:40;0;0;"Estoy temblando joder es tan bonito";;;;"643570003908894720";https://twitter.com/_anaaprieto/status/643570003908894720
viniciusernani;2015-09-14 19:40;0;0;"aquele filme do terremoto é muito bom";;;;"643569957855449088";https://twitter.com/viniciusernani/status/643569957855449088
ToddyMarkiko;2015-09-14 19:39;0;0;"Pra esquecer as decepções. — assistindo Terremoto : A Falha de San Andreas";;;;"643569864511234048";https://twitter.com/ToddyMarkiko/status/643569864511234048
averagon;2015-09-14 19:39;0;0;"Septiembre 14 1995: en México, 5 días antes del décimo aniversario del Terremoto de México de 1985, un sismo de magnitud 7,3 en la [1/2]";;;;"643569827433476096";https://twitter.com/averagon/status/643569827433476096
Joellreyes;2015-09-14 19:39;0;0;"alerta de terremoto con eso sacude el building";;;;"643569802091626496";https://twitter.com/Joellreyes/status/643569802091626496
carlarcentales;2015-09-14 19:39;0;0;"#NowPlaying " Temblando " de Antonio Orozco de Temblando que canción ♫ http:// spoti.fi/ZYhS30";;;#NowPlaying;"643569800069947392";https://twitter.com/carlarcentales/status/643569800069947392
TuiteoMerida;2015-09-14 19:38;0;0;"#Trafico : .enzomesg: Merida preparada para un terremoto ... congestionamiento barbaro en toda la ciudad..!";;;#Trafico;"643569643773411328";https://twitter.com/TuiteoMerida/status/643569643773411328
mffyeah;2015-09-14 19:38;0;0;"Parece q no tembló .";;;;"643569619047972865";https://twitter.com/mffyeah/status/643569619047972865
SamiiiSosa_;2015-09-14 19:38;0;0;"Temblor y zonda el mismo dia,muy normal el lunes.";;;;"643569528274857984";https://twitter.com/SamiiiSosa_/status/643569528274857984
jobecerra;2015-09-14 19:38;0;0;"@mffyeah algo así.. pero de temblar nada";;@mffyeah;;"643569502337302528";https://twitter.com/jobecerra/status/643569502337302528
Alexbalza306;2015-09-14 19:38;0;0;"Para entrar y Salir... " @transitomerida : . @enzomesg : Merida preparada para un terremoto ... congestionamiento barbaro en toda la ciudad..!"";;@transitomerida @enzomesg;;"643569498415468544";https://twitter.com/Alexbalza306/status/643569498415468544
___cata;2015-09-14 19:38;0;1;"#Este18MeComeria su empaná y tomaría su buen terremoto";;;#Este18MeComeria;"643569488647094272";https://twitter.com/___cata/status/643569488647094272
renepradoy;2015-09-14 19:37;0;0;"@abogadomeza @El_Palestino1 @DerechaTuitera también ella ocasionó el terremoto ?";;@abogadomeza @El_Palestino1 @DerechaTuitera;;"643569354517430272";https://twitter.com/renepradoy/status/643569354517430272
DanielBongarra;2015-09-14 19:37;1;0;"NOCHE DE LUNAS Comenzamos la semana con muy buenas entrevistas y muy buena música. Con Zonda y temblor , seguimos... http:// fb.me/7uY1V0fxb";;;;"643569354337034240";https://twitter.com/DanielBongarra/status/643569354337034240
SaantanamM;2015-09-14 19:37;0;0;"Aaah quando eu sismo cm uma coisa não tem quem me segure";;;;"643569345885569024";https://twitter.com/SaantanamM/status/643569345885569024
ProyectoDiez;2015-09-14 19:37;0;0;"Vulnerables a un sismo , 80 por ciento de las construcciones en #Guadalajara http:// p10.mx/1QBhICS pic.twitter.com/k5pi1mWEWb";;;#Guadalajara;"643569329875890176";https://twitter.com/ProyectoDiez/status/643569329875890176
smaartineez27;2015-09-14 19:37;6;13;"Nudo en la garganta, empezar a temblar y que se me pongan las manos frías, ok.";;;;"643569300364754944";https://twitter.com/smaartineez27/status/643569300364754944
keny_SR;2015-09-14 19:37;2;1;"Me sonrieron sus ojos y me tembló hasta el alma";;;;"643569214859546624";https://twitter.com/keny_SR/status/643569214859546624
Hoogueeto;2015-09-14 19:36;0;0;"@mariacampesina Un terremoto gratis no se desperdicia.";Santiago, Chile;@mariacampesina;;"643569155296374784";https://twitter.com/Hoogueeto/status/643569155296374784
transitomerida;2015-09-14 19:36;0;0;". @enzomesg : Merida preparada para un terremoto ... congestionamiento barbaro en toda la ciudad..!";;@enzomesg;;"643569076275691520";https://twitter.com/transitomerida/status/643569076275691520
costaneraclub;2015-09-14 19:35;0;0;"Este sábado en Costanera Club "Show Infieles" Mujeres BAR ABIERTO en Terremoto hasta las 00:30 Listas de... http:// fb.me/4hh6rqccC";;;;"643568871312486400";https://twitter.com/costaneraclub/status/643568871312486400
Videospremium2;2015-09-14 19:35;0;0;"[VIDEO] Olas en una piscina durante el terremoto de Mexico. http:// goo.gl/7Egsfp pic.twitter.com/jjFnw4oipU";;;;"643568788043132928";https://twitter.com/Videospremium2/status/643568788043132928
ElUniversal;2015-09-14 19:35;0;4;"Elena Poniatowska reseña cómo vivió el terremoto de #México #Literatura http:// ow.ly/ScO6G";;;#M #Literatura;"643568735899529216";https://twitter.com/ElUniversal/status/643568735899529216
nanmartinezzzz;2015-09-14 19:35;0;1;"tus caderas las mias boom hacen un sismo";;;;"643568730585321472";https://twitter.com/nanmartinezzzz/status/643568730585321472
LULOARIAS;2015-09-14 19:34;0;1;"Para el terremoto el mejor helado de piña es Mepiache desde san Joaquín población la La Legua";;;;"643568607922749440";https://twitter.com/LULOARIAS/status/643568607922749440
nameless6021;2015-09-14 19:34;0;0;"(`･ω･´)ｼｬｷｰﾝ 08:34 北海道 倶知安 1000 幌延 794 小平東 13 標茶 #地震 #earthquake #terremoto #強震モニタ #disaster #desastre #Japan #Japón pic.twitter.com/VvqeWANN3d";;;# #earthquake #terremoto # #disaster #desastre #Japan #Jap;"643568588071178240";https://twitter.com/nameless6021/status/643568588071178240
Heerleinfacu;2015-09-14 19:34;0;0;"Me pusieron una pichicata en la cola , estoy temblando y no aguanto la risa";;;;"643568552197419008";https://twitter.com/Heerleinfacu/status/643568552197419008
AgosSuarez01;2015-09-14 19:34;0;0;"Lo hubieras pensado cuando me miraste con esa sonrisa que me hizo temblar";;;;"643568527190921216";https://twitter.com/AgosSuarez01/status/643568527190921216
MerhakN;2015-09-14 19:34;0;0;"Pasan momentos, entre abrazos y besos hacen temblar las paredes. Suelen entregarse algo más que sexo.";;;;"643568504973561856";https://twitter.com/MerhakN/status/643568504973561856
Pacincotta;2015-09-14 19:34;0;2;"ATENCIÓN: Se espera posible tembló (fuerte) o terremoto en la zona de cuyo debido a el comienzo de actividad de un volcán";Córdoba, Argentina;;;"643568485805760512";https://twitter.com/Pacincotta/status/643568485805760512
Monse20014;2015-09-14 19:33;2;5;"@RafaelVazquez21 Tenía pensado una platica acá súper cool pero me dio por comenzar a temblar :'v GRACIAS pic.twitter.com/f7vEQqaSeq";;@RafaelVazquez21;;"643568399713366016";https://twitter.com/Monse20014/status/643568399713366016
jorg5555;2015-09-14 19:33;0;0;"@eltlacuache40 . #SoyUnMaestroCuando me voy y le siguen temblando las piernas";;@eltlacuache40;#SoyUnMaestroCuando;"643568394139144192";https://twitter.com/jorg5555/status/643568394139144192
sebastianicog;2015-09-14 19:33;0;1;"@vargasardiles Bañado soñado con terremoto @SofiaTallarin";;@vargasardiles @SofiaTallarin;;"643568349172080640";https://twitter.com/sebastianicog/status/643568349172080640
